concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,1992.17,0.502,103.11,0
5,3479.12,1.437,180.07,0
10,4437.54,2.253,229.68,0
15,4337.47,3.458,224.50,0
20,4595.00,4.353,237.83,0
25,4313.78,5.795,223.27,0
30,4183.89,7.170,216.55,0
35,4345.92,8.054,224.94,0
40,4718.32,8.478,244.21,0
45,5027.53,8.951,260.21,0
50,4281.96,11.677,221.62,0
60,2736.26,21.928,141.62,0
70,4259.00,16.436,220.44,0
80,4255.84,18.798,220.27,0
90,4289.54,20.981,222.02,0
100,4262.70,23.459,220.63,0
