concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,1556.00,0.643,88.13,0
5,4049.60,1.235,229.37,0
10,4433.78,2.255,251.13,0
15,4303.02,3.486,243.73,0
20,4333.17,4.616,245.43,0
25,4215.09,5.931,238.75,0
30,4593.56,6.531,260.18,0
35,4219.62,8.295,239.00,0
40,3961.67,10.097,224.39,0
45,4074.17,11.045,230.76,0
50,4425.82,11.297,250.68,0
60,2777.98,21.598,157.35,0
70,4429.91,15.802,250.91,0
80,4322.12,18.509,244.81,0
90,4185.19,21.504,237.05,0
100,3873.39,25.817,219.39,0
