concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,1570.87,0.637,81.30,0
5,3401.45,1.470,176.05,0
10,4352.20,2.298,225.26,0
15,4257.55,3.523,220.36,0
20,4393.21,4.552,227.38,0
25,4255.83,5.874,220.27,0
30,4280.91,7.008,221.57,0
35,4200.15,8.333,217.39,0
40,4440.83,9.007,229.85,0
45,4331.63,10.389,224.20,0
50,4207.87,11.883,217.79,0
60,4293.12,13.976,222.20,0
70,4319.47,16.206,223.57,0
80,4406.65,18.154,228.08,0
90,4271.20,21.071,221.07,0
100,4385.29,22.803,226.97,0
