concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,2285.71,0.438,113.84,0
5,3970.22,1.259,197.74,0
10,4278.26,2.337,213.08,0
15,4418.48,3.395,220.06,0
20,4350.51,4.597,216.68,0
25,4620.13,5.411,230.10,0
30,4560.55,6.578,227.14,0
35,4325.17,8.092,215.41,0
40,4266.78,9.375,212.51,0
45,4381.58,10.270,218.22,0
50,4618.98,10.825,230.05,0
60,2222.08,27.002,110.67,0
70,3249.56,21.541,161.84,0
80,4440.46,18.016,221.16,0
90,4429.35,20.319,220.60,0
100,5371.43,18.617,267.52,0
