concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,2000.54,0.500,99.64,0
5,3412.69,1.465,169.97,0
10,4294.15,2.329,213.87,0
15,4547.94,3.298,226.51,0
20,5539.86,3.610,275.91,0
25,5190.63,4.816,258.52,0
30,5540.20,5.415,275.93,0
35,6439.56,5.435,320.72,0
40,6433.10,6.218,320.40,0
45,6525.12,6.896,324.98,0
50,6631.52,7.540,330.28,0
60,3206.72,18.711,159.71,0
70,5931.27,11.802,295.40,0
80,6417.25,12.466,319.61,0
90,6122.76,14.699,304.94,0
100,6707.04,14.910,334.04,0
