concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,2142.20,0.467,121.34,0
5,3494.46,1.431,197.93,0
10,4432.88,2.256,251.08,0
15,4608.91,3.255,261.05,0
20,5612.02,3.564,317.87,0
25,5604.44,4.461,317.44,0
30,5754.24,5.214,325.92,0
35,6645.98,5.266,376.43,0
40,6864.93,5.827,388.83,0
45,6298.02,7.145,356.72,0
50,6529.76,7.657,369.85,0
60,6815.05,8.804,386.01,0
70,6466.92,10.824,366.29,0
80,6476.73,12.352,366.85,0
90,6433.72,13.989,364.41,0
100,6367.03,15.706,360.63,0
