concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,2313.25,0.432,131.02,0
5,3537.31,1.414,200.36,0
10,4106.27,2.435,232.58,0
15,4026.01,3.726,228.04,0
20,4392.96,4.553,248.82,0
25,4440.75,5.630,251.53,0
30,4659.79,6.438,263.93,0
35,4787.23,7.311,271.15,0
40,2526.67,15.831,143.11,0
45,1966.73,22.881,111.40,0
50,3728.45,13.410,211.18,0
60,1888.61,31.769,106.97,0
70,4215.34,16.606,238.76,0
80,4314.18,18.544,244.36,0
90,4448.22,20.233,251.95,0
100,4949.44,20.204,280.34,0
