concurrency,requests_per_sec,time_per_request,transfer_rate,failed_requests
1,1552.44,0.644,77.32,0
5,4090.60,1.222,203.73,0
10,4338.38,2.305,216.07,0
15,4212.21,3.561,209.79,0
20,4292.91,4.659,213.81,0
25,4847.05,5.158,241.41,0
30,4369.87,6.865,217.64,0
35,4296.70,8.146,214.00,0
40,4108.26,9.736,204.61,0
45,4031.90,11.161,200.81,0
50,4371.18,11.439,217.71,0
60,2115.86,28.357,105.38,0
70,3248.86,21.546,161.81,0
80,4426.42,18.073,220.46,0
90,4422.76,20.349,220.27,0
100,4310.57,23.199,214.69,0
